,Feature,Classifier,ROC AUC,Accuracy,Correlation,Norm Confusion Matrix,Retrieval Calls,In-Accuracy_init_mean,In-Accuracy_bootstrap_mean,In-Accuracy_CI_lower,In-Accuracy_CI_higher,In-Accuracy_std,Mean Tokens_init_mean,Mean Tokens_bootstrap_mean,Mean Tokens_CI_lower,Mean Tokens_CI_higher,Mean Tokens_std,EM_init_mean,EM_bootstrap_mean,EM_CI_lower,EM_CI_higher,EM_std,F1_init_mean,F1_bootstrap_mean,F1_CI_lower,F1_CI_higher,F1_std,Dataset,LLM Call,is_baseline,UC_rate,overconfidence,conservativeness
208,Semantic Entropy,KNN,0.702,0.684,0.388,"[[0.526, 0.11], [0.206, 0.158]]",0.27,0.638,0.638,0.594,0.68,0.021,636.03,633.533,547.195,725.702,44.315,0.586,0.586,0.542,0.628,0.022,0.676,0.676,0.639,0.713,0.019,trivia,1.27,0,0.268,0.206,0.11
209,Semantic Entropy,MLP,0.73,0.712,0.388,"[[0.554, 0.082], [0.206, 0.158]]",0.24,0.64,0.64,0.598,0.682,0.022,568.988,568.534,485.722,648.649,42.238,0.596,0.596,0.552,0.638,0.022,0.685,0.686,0.647,0.721,0.019,trivia,1.24,0,0.24,0.206,0.082
210,Semantic Entropy,Decision Tree,0.687,0.684,0.388,"[[0.458, 0.178], [0.138, 0.226]]",0.4,0.626,0.626,0.582,0.668,0.022,934.84,933.587,840.519,1035.618,49.405,0.572,0.571,0.528,0.614,0.022,0.666,0.666,0.626,0.703,0.02,trivia,1.4,0,0.404,0.138,0.178
211,Semantic Entropy,Threshold,0.733,0.718,0.388,"[[0.508, 0.128], [0.154, 0.21]]",0.34,0.64,0.64,0.598,0.682,0.021,787.58,785.33,690.839,881.792,48.607,0.59,0.59,0.548,0.634,0.022,0.68,0.68,0.642,0.718,0.019,trivia,1.34,0,0.3379999999999999,0.154,0.128
212,CCP,Logistic Regression,0.729,0.684,0.381,"[[0.592, 0.044], [0.272, 0.092]]",0.14,0.644,0.644,0.602,0.686,0.021,337.824,337.055,273.518,404.021,34.414,0.59,0.59,0.546,0.634,0.022,0.679,0.679,0.642,0.716,0.019,trivia,1.1400000000000001,0,0.136,0.272,0.044
213,CCP,KNN,0.71,0.724,0.381,"[[0.532, 0.104], [0.172, 0.192]]",0.3,0.658,0.658,0.616,0.7,0.021,691.668,690.469,603.433,783.089,46.419,0.6,0.599,0.556,0.642,0.022,0.688,0.688,0.649,0.724,0.019,trivia,1.3,0,0.296,0.172,0.104
214,CCP,MLP,0.729,0.712,0.381,"[[0.532, 0.104], [0.184, 0.18]]",0.28,0.662,0.662,0.62,0.702,0.021,665.714,663.877,575.661,753.738,44.865,0.6,0.599,0.558,0.644,0.021,0.692,0.692,0.655,0.729,0.019,trivia,1.28,0,0.284,0.184,0.104
215,CCP,Decision Tree,0.717,0.706,0.381,"[[0.478, 0.158], [0.136, 0.228]]",0.39,0.654,0.654,0.612,0.692,0.021,892.954,890.316,799.665,989.507,48.605,0.592,0.591,0.55,0.632,0.021,0.683,0.682,0.644,0.718,0.019,trivia,1.3900000000000001,0,0.386,0.136,0.158
216,CCP,Threshold,0.729,0.702,0.381,"[[0.498, 0.138], [0.16, 0.204]]",0.34,0.654,0.654,0.61,0.694,0.021,796.568,794.818,706.285,889.102,46.821,0.596,0.596,0.556,0.638,0.021,0.686,0.686,0.647,0.724,0.019,trivia,1.34,0,0.3419999999999999,0.16,0.138
217,SAR,Logistic Regression,0.731,0.698,0.384,"[[0.54, 0.096], [0.206, 0.158]]",0.25,0.638,0.638,0.594,0.68,0.021,604.316,601.955,516.77,690.979,44.342,0.588,0.588,0.546,0.632,0.022,0.679,0.679,0.64,0.717,0.019,trivia,1.25,0,0.254,0.206,0.096
218,SAR,KNN,0.711,0.698,0.384,"[[0.53, 0.106], [0.196, 0.168]]",0.27,0.634,0.634,0.59,0.676,0.022,648.754,646.697,560.583,738.623,45.628,0.584,0.584,0.542,0.626,0.022,0.674,0.674,0.636,0.712,0.019,trivia,1.27,0,0.274,0.196,0.106
219,SAR,MLP,0.731,0.688,0.384,"[[0.55, 0.086], [0.226, 0.138]]",0.22,0.634,0.634,0.592,0.678,0.022,539.034,537.026,453.818,622.507,42.595,0.584,0.584,0.54,0.628,0.022,0.676,0.676,0.637,0.714,0.019,trivia,1.22,0,0.224,0.226,0.086
220,SAR,Decision Tree,0.72,0.698,0.384,"[[0.544, 0.092], [0.21, 0.154]]",0.25,0.64,0.64,0.596,0.682,0.021,587.12,584.92,499.055,672.344,44.003,0.59,0.59,0.546,0.632,0.022,0.681,0.681,0.642,0.718,0.019,trivia,1.25,0,0.246,0.21,0.092
221,SAR,Threshold,0.731,0.718,0.384,"[[0.53, 0.106], [0.176, 0.188]]",0.29,0.642,0.642,0.6,0.684,0.021,692.366,690.463,599.036,789.603,47.106,0.588,0.588,0.546,0.632,0.022,0.679,0.679,0.643,0.717,0.019,trivia,1.29,0,0.294,0.176,0.106
222,SentenceSAR,Logistic Regression,0.725,0.718,0.374,"[[0.556, 0.08], [0.202, 0.162]]",0.24,0.644,0.644,0.602,0.686,0.021,574.194,572.702,487.124,661.884,44.168,0.592,0.592,0.55,0.636,0.022,0.681,0.682,0.645,0.717,0.019,trivia,1.24,0,0.242,0.202,0.08
223,SentenceSAR,KNN,0.698,0.694,0.374,"[[0.52, 0.116], [0.19, 0.174]]",0.29,0.64,0.64,0.596,0.682,0.021,683.646,683.138,594.762,777.148,46.944,0.594,0.594,0.548,0.636,0.022,0.681,0.681,0.644,0.717,0.019,trivia,1.29,0,0.29,0.19,0.116
224,SentenceSAR,MLP,0.725,0.718,0.374,"[[0.554, 0.082], [0.2, 0.164]]",0.25,0.642,0.642,0.602,0.684,0.021,583.316,581.71,493.907,671.437,44.387,0.592,0.592,0.55,0.636,0.022,0.68,0.68,0.643,0.716,0.019,trivia,1.25,0,0.246,0.2,0.082
225,SentenceSAR,Decision Tree,0.701,0.702,0.374,"[[0.538, 0.098], [0.2, 0.164]]",0.26,0.642,0.642,0.598,0.684,0.021,619.13,617.959,526.853,709.07,45.833,0.596,0.596,0.554,0.638,0.022,0.685,0.685,0.649,0.722,0.019,trivia,1.26,0,0.262,0.2,0.098
226,SentenceSAR,Threshold,0.725,0.716,0.374,"[[0.56, 0.076], [0.208, 0.156]]",0.23,0.642,0.642,0.6,0.686,0.022,552.508,551.257,467.72,639.956,43.671,0.592,0.592,0.55,0.636,0.022,0.682,0.682,0.645,0.717,0.019,trivia,1.23,0,0.2319999999999999,0.208,0.076
227,NumSemSets,Logistic Regression,0.699,0.674,0.335,"[[0.514, 0.122], [0.204, 0.16]]",0.28,0.638,0.638,0.596,0.68,0.022,666.82,663.627,572.952,753.74,46.308,0.59,0.59,0.548,0.632,0.022,0.68,0.68,0.64,0.718,0.02,trivia,1.28,0,0.282,0.204,0.122
228,NumSemSets,KNN,0.681,0.674,0.335,"[[0.514, 0.122], [0.204, 0.16]]",0.28,0.638,0.638,0.596,0.68,0.022,666.82,663.627,572.952,753.74,46.308,0.59,0.59,0.548,0.632,0.022,0.68,0.68,0.64,0.718,0.02,trivia,1.28,0,0.282,0.204,0.122
229,NumSemSets,MLP,0.699,0.674,0.335,"[[0.514, 0.122], [0.204, 0.16]]",0.28,0.638,0.638,0.596,0.68,0.022,666.82,663.627,572.952,753.74,46.308,0.59,0.59,0.548,0.632,0.022,0.68,0.68,0.64,0.718,0.02,trivia,1.28,0,0.282,0.204,0.122
230,NumSemSets,Decision Tree,0.696,0.674,0.335,"[[0.514, 0.122], [0.204, 0.16]]",0.28,0.638,0.638,0.596,0.68,0.022,666.82,663.627,572.952,753.74,46.308,0.59,0.59,0.548,0.632,0.022,0.68,0.68,0.64,0.718,0.02,trivia,1.28,0,0.282,0.204,0.122
231,NumSemSets,Threshold,0.699,0.674,0.335,"[[0.514, 0.122], [0.204, 0.16]]",0.28,0.638,0.638,0.596,0.68,0.022,666.82,663.627,572.952,753.74,46.308,0.59,0.59,0.548,0.632,0.022,0.68,0.68,0.64,0.718,0.02,trivia,1.28,0,0.282,0.204,0.122
232,EigValLaplacian,Logistic Regression,0.706,0.696,0.344,"[[0.548, 0.088], [0.216, 0.148]]",0.24,0.638,0.638,0.596,0.68,0.022,567.198,564.293,481.811,649.668,44.035,0.594,0.594,0.55,0.636,0.022,0.681,0.681,0.643,0.716,0.019,trivia,1.24,0,0.236,0.216,0.088
233,EigValLaplacian,KNN,0.672,0.682,0.344,"[[0.528, 0.108], [0.21, 0.154]]",0.26,0.64,0.64,0.598,0.682,0.021,622.884,620.994,529.862,711.024,46.028,0.592,0.592,0.55,0.634,0.021,0.682,0.681,0.645,0.718,0.019,trivia,1.26,0,0.262,0.21,0.108
234,EigValLaplacian,MLP,0.707,0.668,0.344,"[[0.556, 0.08], [0.252, 0.112]]",0.19,0.636,0.636,0.592,0.68,0.022,467.624,465.433,385.03,544.074,40.785,0.594,0.594,0.55,0.636,0.022,0.68,0.68,0.64,0.718,0.02,trivia,1.19,0,0.192,0.252,0.08
235,EigValLaplacian,Decision Tree,0.685,0.686,0.344,"[[0.534, 0.102], [0.212, 0.152]]",0.25,0.636,0.636,0.594,0.678,0.022,607.384,604.144,518.563,692.972,44.389,0.592,0.592,0.546,0.636,0.022,0.679,0.679,0.641,0.716,0.019,trivia,1.25,0,0.254,0.212,0.102
236,EigValLaplacian,Threshold,0.706,0.69,0.344,"[[0.55, 0.086], [0.224, 0.14]]",0.23,0.638,0.638,0.596,0.68,0.022,544.9,542.188,460.041,626.199,43.374,0.594,0.594,0.55,0.638,0.022,0.681,0.681,0.642,0.717,0.019,trivia,1.23,0,0.226,0.224,0.086
237,DegMat,Logistic Regression,0.713,0.636,0.355,"[[0.636, 0.0], [0.364, 0.0]]",0.0,0.636,0.637,0.596,0.682,0.022,39.652,39.652,38.938,40.43,0.403,0.592,0.592,0.55,0.636,0.022,0.675,0.676,0.638,0.714,0.019,trivia,1.0,0,0.0,0.364,0.0
238,DegMat,KNN,0.692,0.684,0.355,"[[0.514, 0.122], [0.194, 0.17]]",0.29,0.644,0.644,0.602,0.686,0.022,689.062,686.716,597.356,776.466,45.9,0.598,0.598,0.556,0.64,0.022,0.684,0.684,0.645,0.722,0.019,trivia,1.29,0,0.292,0.194,0.122
239,DegMat,MLP,0.713,0.692,0.355,"[[0.544, 0.092], [0.216, 0.148]]",0.24,0.64,0.64,0.598,0.682,0.022,576.092,573.489,488.971,662.634,44.527,0.596,0.596,0.554,0.638,0.022,0.684,0.684,0.645,0.719,0.019,trivia,1.24,0,0.24,0.216,0.092
240,DegMat,Decision Tree,0.685,0.68,0.355,"[[0.466, 0.17], [0.15, 0.214]]",0.38,0.636,0.636,0.592,0.676,0.021,890.168,887.919,790.232,985.907,48.812,0.592,0.591,0.55,0.636,0.022,0.676,0.676,0.637,0.713,0.019,trivia,1.38,0,0.384,0.15,0.17
241,DegMat,Threshold,0.713,0.686,0.355,"[[0.5, 0.136], [0.178, 0.186]]",0.32,0.642,0.642,0.6,0.682,0.021,755.038,752.847,662.954,847.361,47.957,0.594,0.594,0.552,0.638,0.022,0.684,0.684,0.645,0.72,0.019,trivia,1.32,0,0.322,0.178,0.136
242,Eccentricity,Logistic Regression,0.707,0.682,0.345,"[[0.558, 0.078], [0.24, 0.124]]",0.2,0.624,0.625,0.58,0.666,0.022,485.578,485.205,409.165,566.015,40.759,0.58,0.58,0.536,0.624,0.022,0.667,0.668,0.629,0.705,0.02,trivia,1.2,0,0.202,0.24,0.078
243,Eccentricity,KNN,0.684,0.674,0.345,"[[0.55, 0.086], [0.24, 0.124]]",0.21,0.638,0.638,0.594,0.682,0.022,503.038,501.771,422.375,584.422,40.395,0.594,0.593,0.55,0.638,0.022,0.677,0.676,0.636,0.714,0.02,trivia,1.21,0,0.21,0.24,0.086
244,Eccentricity,MLP,0.707,0.688,0.345,"[[0.478, 0.158], [0.154, 0.21]]",0.37,0.636,0.636,0.592,0.676,0.022,855.69,852.961,761.456,949.507,49.676,0.588,0.588,0.544,0.632,0.022,0.674,0.674,0.634,0.712,0.02,trivia,1.37,0,0.368,0.154,0.158
245,Eccentricity,Decision Tree,0.671,0.67,0.345,"[[0.47, 0.166], [0.164, 0.2]]",0.37,0.632,0.632,0.588,0.676,0.022,850.076,848.003,755.152,947.18,49.303,0.582,0.582,0.538,0.626,0.022,0.671,0.671,0.632,0.709,0.019,trivia,1.37,0,0.366,0.164,0.166
246,Eccentricity,Threshold,0.707,0.688,0.345,"[[0.478, 0.158], [0.154, 0.21]]",0.37,0.636,0.636,0.592,0.676,0.022,855.69,852.961,761.456,949.507,49.676,0.588,0.588,0.544,0.632,0.022,0.674,0.674,0.634,0.712,0.02,trivia,1.37,0,0.368,0.154,0.158
247,Lex-Similarity,Logistic Regression,0.736,0.694,0.394,"[[0.574, 0.062], [0.244, 0.12]]",0.18,0.64,0.64,0.598,0.684,0.022,448.004,447.128,368.054,529.555,39.367,0.59,0.59,0.546,0.634,0.022,0.681,0.681,0.643,0.721,0.019,trivia,1.18,0,0.182,0.244,0.062
248,Lex-Similarity,KNN,0.707,0.692,0.394,"[[0.552, 0.084], [0.224, 0.14]]",0.22,0.646,0.646,0.604,0.688,0.021,536.098,535.204,450.665,612.629,40.566,0.6,0.6,0.558,0.642,0.022,0.689,0.69,0.651,0.726,0.019,trivia,1.22,0,0.224,0.224,0.084
249,Lex-Similarity,MLP,0.736,0.728,0.394,"[[0.544, 0.092], [0.18, 0.184]]",0.28,0.644,0.644,0.6,0.686,0.021,652.182,650.341,565.314,740.125,44.927,0.594,0.594,0.552,0.636,0.021,0.685,0.685,0.647,0.722,0.019,trivia,1.28,0,0.276,0.18,0.092
250,Lex-Similarity,Decision Tree,0.731,0.712,0.394,"[[0.546, 0.09], [0.198, 0.166]]",0.26,0.638,0.638,0.596,0.682,0.021,608.872,606.798,524.721,695.558,43.881,0.588,0.588,0.548,0.63,0.021,0.68,0.681,0.644,0.716,0.019,trivia,1.26,0,0.256,0.198,0.09
251,Lex-Similarity,Threshold,0.736,0.724,0.394,"[[0.548, 0.088], [0.188, 0.176]]",0.26,0.64,0.64,0.596,0.684,0.021,625.886,624.072,538.798,714.434,43.89,0.592,0.592,0.55,0.634,0.021,0.683,0.683,0.646,0.72,0.019,trivia,1.26,0,0.264,0.188,0.088
252,MD,Logistic Regression,0.48,0.636,0.034,"[[0.636, 0.0], [0.364, 0.0]]",0.0,0.636,0.637,0.596,0.682,0.022,39.652,39.652,38.938,40.43,0.403,0.592,0.592,0.55,0.636,0.022,0.675,0.676,0.638,0.714,0.019,trivia,1.0,0,0.0,0.364,0.0
253,MD,KNN,0.514,0.636,0.034,"[[0.636, 0.0], [0.364, 0.0]]",0.0,0.636,0.637,0.596,0.682,0.022,39.652,39.652,38.938,40.43,0.403,0.592,0.592,0.55,0.636,0.022,0.675,0.676,0.638,0.714,0.019,trivia,1.0,0,0.0,0.364,0.0
254,MD,MLP,0.48,0.636,0.034,"[[0.636, 0.0], [0.364, 0.0]]",0.0,0.636,0.637,0.596,0.682,0.022,39.652,39.652,38.938,40.43,0.403,0.592,0.592,0.55,0.636,0.022,0.675,0.676,0.638,0.714,0.019,trivia,1.0,0,0.0,0.364,0.0
255,MD,Decision Tree,0.5,0.62,0.034,"[[0.604, 0.032], [0.348, 0.016]]",0.05,0.642,0.643,0.602,0.688,0.022,145.312,145.752,106.231,189.843,20.698,0.598,0.598,0.556,0.642,0.022,0.681,0.682,0.644,0.72,0.019,trivia,1.05,0,0.048,0.348,0.032
256,MD,Threshold,0.52,0.628,0.034,"[[0.618, 0.018], [0.354, 0.01]]",0.03,0.63,0.631,0.588,0.678,0.022,99.184,99.089,69.395,131.755,15.789,0.586,0.586,0.544,0.63,0.022,0.672,0.672,0.635,0.711,0.019,trivia,1.03,0,0.0279999999999999,0.354,0.018
257,RMD,Logistic Regression,0.461,0.636,0.065,"[[0.636, 0.0], [0.364, 0.0]]",0.0,0.636,0.637,0.596,0.682,0.022,39.652,39.652,38.938,40.43,0.403,0.592,0.592,0.55,0.636,0.022,0.675,0.676,0.638,0.714,0.019,trivia,1.0,0,0.0,0.364,0.0
258,RMD,KNN,0.463,0.624,0.065,"[[0.622, 0.014], [0.362, 0.002]]",0.02,0.636,0.637,0.596,0.682,0.022,75.502,75.778,52.829,102.599,12.709,0.592,0.592,0.55,0.636,0.022,0.675,0.676,0.638,0.714,0.019,trivia,1.02,0,0.016,0.362,0.014
259,RMD,MLP,0.461,0.636,0.065,"[[0.636, 0.0], [0.364, 0.0]]",0.0,0.636,0.637,0.596,0.682,0.022,39.652,39.652,38.938,40.43,0.403,0.592,0.592,0.55,0.636,0.022,0.675,0.676,0.638,0.714,0.019,trivia,1.0,0,0.0,0.364,0.0
260,RMD,Decision Tree,0.492,0.626,0.065,"[[0.616, 0.02], [0.354, 0.01]]",0.03,0.636,0.637,0.596,0.682,0.022,104.086,103.767,73.345,137.559,15.987,0.592,0.592,0.548,0.638,0.022,0.674,0.675,0.637,0.714,0.02,trivia,1.03,0,0.03,0.354,0.02
261,RMD,Threshold,0.539,0.632,0.065,"[[0.626, 0.01], [0.358, 0.006]]",0.02,0.634,0.635,0.594,0.68,0.022,73.398,73.193,52.032,98.448,11.855,0.59,0.59,0.548,0.634,0.022,0.673,0.674,0.636,0.712,0.02,trivia,1.02,0,0.016,0.358,0.01
262,RDE,Logistic Regression,0.582,0.626,0.137,"[[0.626, 0.01], [0.364, 0.0]]",0.01,0.63,0.631,0.588,0.676,0.022,62.146,62.158,44.075,84.478,10.185,0.584,0.584,0.542,0.63,0.022,0.67,0.671,0.635,0.711,0.019,trivia,1.01,0,0.01,0.364,0.01
263,RDE,KNN,0.496,0.59,0.137,"[[0.574, 0.062], [0.348, 0.016]]",0.08,0.634,0.634,0.592,0.678,0.021,210.226,211.277,161.963,263.712,26.708,0.588,0.588,0.544,0.632,0.022,0.669,0.669,0.629,0.707,0.019,trivia,1.08,0,0.078,0.348,0.062
264,RDE,MLP,0.582,0.364,0.137,"[[0.0, 0.636], [0.0, 0.364]]",1.0,0.61,0.609,0.568,0.65,0.022,2252.616,2252.458,2240.167,2266.198,6.658,0.522,0.521,0.478,0.564,0.022,0.636,0.635,0.596,0.675,0.02,trivia,2.0,0,1.0,0.0,0.636
265,RDE,Decision Tree,0.506,0.588,0.137,"[[0.564, 0.072], [0.34, 0.024]]",0.1,0.63,0.63,0.588,0.672,0.022,251.712,252.682,197.003,313.984,29.143,0.582,0.582,0.538,0.626,0.022,0.666,0.666,0.626,0.705,0.02,trivia,1.1,0,0.096,0.34,0.072
266,RDE,Threshold,0.582,0.628,0.137,"[[0.61, 0.026], [0.346, 0.018]]",0.04,0.624,0.625,0.582,0.67,0.022,134.72,134.923,96.858,173.652,19.518,0.58,0.58,0.538,0.622,0.022,0.667,0.667,0.629,0.706,0.02,trivia,1.04,0,0.044,0.346,0.026
267,Hybrid,Logistic Regression,0.712,0.678,0.0,"[[0.546, 0.09], [0.232, 0.132]]",0.22,0.64,0.64,0.598,0.682,0.022,528.872,527.881,447.388,608.095,41.056,0.592,0.592,0.55,0.636,0.022,0.679,0.68,0.642,0.717,0.019,trivia,1.22,0,0.222,0.232,0.09
268,Hybrid,KNN,0.503,0.612,0.0,"[[0.598, 0.038], [0.35, 0.014]]",0.05,0.624,0.624,0.582,0.666,0.021,156.796,157.726,114.491,205.212,22.863,0.58,0.58,0.538,0.62,0.022,0.664,0.664,0.623,0.703,0.019,trivia,1.05,0,0.052,0.35,0.038
269,Hybrid,MLP,0.57,0.406,0.0,"[[0.066, 0.57], [0.024, 0.34]]",0.91,0.616,0.615,0.572,0.656,0.021,2056.412,2055.679,1996.923,2110.494,29.175,0.53,0.529,0.486,0.572,0.022,0.639,0.638,0.598,0.678,0.019,trivia,1.9100000000000001,0,0.91,0.024,0.57
270,Hybrid,Decision Tree,0.648,0.686,0.0,"[[0.502, 0.134], [0.18, 0.184]]",0.32,0.654,0.655,0.61,0.696,0.021,743.318,741.903,646.829,836.232,46.692,0.594,0.594,0.552,0.638,0.022,0.689,0.689,0.65,0.726,0.019,trivia,1.32,0,0.318,0.18,0.134
271,All Context,,,,,,1.0,0.61,0.609,0.568,0.65,0.022,,,,,,0.522,0.521,0.478,0.564,0.022,0.636,0.635,0.596,0.675,0.02,trivia,1.0,1,,,
272,No Context,,,,,,0.0,0.636,0.637,0.596,0.682,0.022,,,,,,0.592,0.592,0.55,0.636,0.022,0.675,0.676,0.638,0.714,0.019,trivia,1.0,1,,,
273,Ideal,,,,,,0.36,0.736,0.736,0.698,0.774,0.019,842.672,841.082,741.566,933.231,48.19,0.676,0.675,0.632,0.716,0.021,0.759,0.759,0.725,0.792,0.017,trivia,1.0,1,,,
274,Perplexity,Logistic Regression,0.686,0.714,0.291,"[[0.0, 0.286], [0.0, 0.714]]",1.0,0.41,0.41,0.368,0.452,0.022,1234.548,1233.954,1213.274,1256.783,11.05,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,2.0,0,1.0,0.0,0.286
275,Perplexity,KNN,0.631,0.69,0.291,"[[0.062, 0.224], [0.086, 0.628]]",0.85,0.394,0.394,0.35,0.438,0.022,1053.224,1052.888,1011.868,1095.255,21.165,0.374,0.374,0.328,0.418,0.022,0.486,0.486,0.446,0.526,0.02,hotpotqa,1.85,0,0.852,0.086,0.224
276,Perplexity,MLP,0.686,0.714,0.291,"[[0.0, 0.286], [0.0, 0.714]]",1.0,0.41,0.41,0.368,0.452,0.022,1234.548,1233.954,1213.274,1256.783,11.05,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,2.0,0,1.0,0.0,0.286
277,Perplexity,Decision Tree,0.638,0.704,0.291,"[[0.006, 0.28], [0.016, 0.698]]",0.98,0.408,0.408,0.364,0.45,0.022,1206.222,1205.703,1180.28,1231.794,13.415,0.384,0.384,0.34,0.426,0.022,0.496,0.496,0.457,0.535,0.02,hotpotqa,1.98,0,0.978,0.016,0.28
278,Perplexity,Threshold,0.686,0.728,0.291,"[[0.03, 0.256], [0.016, 0.698]]",0.95,0.41,0.41,0.366,0.452,0.022,1176.544,1176.076,1146.03,1206.635,15.456,0.386,0.386,0.342,0.428,0.022,0.498,0.498,0.461,0.538,0.02,hotpotqa,1.95,0,0.954,0.016,0.256
279,Mean Entropy,Logistic Regression,0.698,0.722,0.31,"[[0.008, 0.278], [0.0, 0.714]]",0.99,0.41,0.41,0.368,0.452,0.022,1222.978,1222.406,1200.267,1246.72,11.965,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,1.99,0,0.992,0.0,0.278
280,Mean Entropy,KNN,0.626,0.682,0.31,"[[0.082, 0.204], [0.114, 0.6]]",0.8,0.398,0.398,0.354,0.44,0.022,991.308,990.3,946.383,1036.706,22.422,0.38,0.38,0.336,0.424,0.022,0.488,0.488,0.451,0.528,0.021,hotpotqa,1.8,0,0.8039999999999999,0.114,0.204
281,Mean Entropy,MLP,0.698,0.718,0.31,"[[0.004, 0.282], [0.0, 0.714]]",1.0,0.41,0.41,0.368,0.452,0.022,1229.698,1229.12,1207.768,1252.379,11.367,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,2.0,0,0.996,0.0,0.282
282,Mean Entropy,Decision Tree,0.651,0.696,0.31,"[[0.136, 0.15], [0.154, 0.56]]",0.71,0.378,0.378,0.336,0.42,0.022,873.258,872.464,822.575,922.898,25.309,0.358,0.358,0.316,0.4,0.022,0.471,0.471,0.433,0.51,0.021,hotpotqa,1.71,0,0.7100000000000001,0.154,0.15
283,Mean Entropy,Threshold,0.698,0.718,0.31,"[[0.032, 0.254], [0.028, 0.686]]",0.94,0.408,0.408,0.366,0.452,0.022,1158.25,1157.659,1124.851,1191.392,17.052,0.384,0.384,0.34,0.426,0.022,0.496,0.496,0.459,0.535,0.02,hotpotqa,1.94,0,0.94,0.028,0.254
284,Max Entropy,Logistic Regression,0.688,0.722,0.295,"[[0.008, 0.278], [0.0, 0.714]]",0.99,0.41,0.41,0.368,0.452,0.022,1224.542,1223.941,1200.282,1248.209,12.073,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,1.99,0,0.992,0.0,0.278
285,Max Entropy,KNN,0.667,0.726,0.295,"[[0.056, 0.23], [0.044, 0.67]]",0.9,0.404,0.404,0.36,0.448,0.022,1113.272,1112.764,1074.351,1148.544,19.474,0.378,0.378,0.334,0.42,0.022,0.492,0.492,0.453,0.531,0.02,hotpotqa,1.9,0,0.9,0.044,0.23
286,Max Entropy,MLP,0.688,0.72,0.295,"[[0.006, 0.28], [0.0, 0.714]]",0.99,0.41,0.41,0.368,0.452,0.022,1227.022,1226.372,1203.496,1250.864,11.962,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,1.99,0,0.994,0.0,0.28
287,Max Entropy,Decision Tree,0.667,0.72,0.295,"[[0.01, 0.276], [0.004, 0.71]]",0.99,0.414,0.414,0.37,0.458,0.022,1214.772,1214.126,1191.478,1238.89,12.341,0.39,0.39,0.344,0.432,0.022,0.501,0.501,0.464,0.54,0.02,hotpotqa,1.99,0,0.986,0.004,0.276
288,Max Entropy,Threshold,0.688,0.72,0.295,"[[0.006, 0.28], [0.0, 0.714]]",0.99,0.41,0.41,0.368,0.452,0.022,1227.022,1226.372,1203.496,1250.864,11.962,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,1.99,0,0.994,0.0,0.28
289,Median Entropy,Logistic Regression,0.62,0.714,0.187,"[[0.0, 0.286], [0.0, 0.714]]",1.0,0.41,0.41,0.368,0.452,0.022,1234.548,1233.954,1213.274,1256.783,11.05,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,2.0,0,1.0,0.0,0.286
290,Median Entropy,KNN,0.534,0.696,0.187,"[[0.028, 0.258], [0.046, 0.668]]",0.93,0.406,0.406,0.364,0.448,0.022,1147.732,1147.338,1114.429,1180.64,17.404,0.386,0.386,0.344,0.426,0.022,0.493,0.493,0.455,0.531,0.02,hotpotqa,1.9300000000000002,0,0.926,0.046,0.258
291,Median Entropy,MLP,0.62,0.714,0.187,"[[0.0, 0.286], [0.0, 0.714]]",1.0,0.41,0.41,0.368,0.452,0.022,1234.548,1233.954,1213.274,1256.783,11.05,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,2.0,0,1.0,0.0,0.286
292,Median Entropy,Decision Tree,0.554,0.71,0.187,"[[0.016, 0.27], [0.02, 0.694]]",0.96,0.408,0.408,0.366,0.45,0.022,1194.132,1193.45,1163.874,1223.928,15.007,0.384,0.384,0.342,0.426,0.022,0.493,0.493,0.456,0.534,0.02,hotpotqa,1.96,0,0.964,0.02,0.27
293,Median Entropy,Threshold,0.62,0.716,0.187,"[[0.002, 0.284], [0.0, 0.714]]",1.0,0.41,0.41,0.368,0.452,0.022,1232.636,1231.984,1211.274,1255.524,11.411,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,2.0,0,0.998,0.0,0.284
294,Min Entropy,Logistic Regression,0.609,0.714,0.17,"[[0.0, 0.286], [0.0, 0.714]]",1.0,0.41,0.41,0.368,0.452,0.022,1234.548,1233.954,1213.274,1256.783,11.05,0.386,0.386,0.342,0.428,0.022,0.497,0.497,0.46,0.535,0.02,hotpotqa,2.0,0,1.0,0.0,0.286
