,Feature,Classifier,ROC AUC,Accuracy,Correlation,Norm Confusion Matrix,Retrieval Calls,In-Accuracy_init_mean,In-Accuracy_bootstrap_mean,In-Accuracy_CI_lower,In-Accuracy_CI_higher,In-Accuracy_std,Mean Tokens_init_mean,Mean Tokens_bootstrap_mean,Mean Tokens_CI_lower,Mean Tokens_CI_higher,Mean Tokens_std,EM_init_mean,EM_bootstrap_mean,EM_CI_lower,EM_CI_higher,EM_std,F1_init_mean,F1_bootstrap_mean,F1_CI_lower,F1_CI_higher,F1_std,Dataset,LLM Call,is_baseline,UC_rate,overconfidence,conservativeness
530,MD,Threshold,0.484,0.824,-0.021,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
531,RMD,Logistic Regression,0.506,0.824,0.009,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
532,RMD,KNN,0.517,0.824,0.009,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
533,RMD,MLP,0.495,0.824,0.009,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
534,RMD,Decision Tree,0.525,0.804,0.009,"[[0.008, 0.168], [0.028, 0.796]]",0.96,0.302,0.302,0.262,0.34,0.02,2118.992,2118.46,2079.549,2155.716,19.435,0.248,0.248,0.21,0.288,0.02,0.379,0.379,0.339,0.416,0.019,squad,1.96,0,0.964,0.028,0.168
535,RMD,Threshold,0.506,0.824,0.009,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
536,RDE,Logistic Regression,0.555,0.824,0.073,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
537,RDE,KNN,0.492,0.824,0.073,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
538,RDE,MLP,0.555,0.824,0.073,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
539,RDE,Decision Tree,0.502,0.798,0.073,"[[0.008, 0.168], [0.034, 0.79]]",0.96,0.308,0.308,0.266,0.346,0.02,2104.8,2104.652,2064.439,2142.872,20.712,0.248,0.248,0.21,0.286,0.02,0.386,0.387,0.348,0.423,0.019,squad,1.96,0,0.958,0.034,0.168
540,RDE,Threshold,0.555,0.824,0.073,"[[0.0, 0.176], [0.0, 0.824]]",1.0,0.312,0.312,0.274,0.35,0.02,2197.026,2196.924,2185.262,2209.051,6.267,0.252,0.252,0.216,0.292,0.02,0.389,0.389,0.35,0.426,0.019,squad,2.0,0,1.0,0.0,0.176
541,Hybrid,Logistic Regression,0.705,0.826,0.0,"[[0.004, 0.172], [0.002, 0.822]]",0.99,0.314,0.314,0.274,0.352,0.02,2183.198,2183.205,2163.06,2203.431,10.32,0.254,0.254,0.216,0.294,0.02,0.391,0.391,0.353,0.43,0.019,squad,1.99,0,0.994,0.002,0.172
